-[7]	45 47 48 50 51 52 54 51 
-[4]	23 26 27 30 30 
-[6]	40 41 44 47 49 51 55 
-[4]	12 15 18 19 26 
UNSAFE	78 81 83 84 83 84 
UNSAFE	5 7 10 7 4 
UNSAFE	28 30 32 29 29 
-[6]	65 68 70 73 76 78 75 79 
UNSAFE	5 7 8 6 9 10 12 17 
-[2]	63 64 64 67 68 71 
UNSAFE	34 37 38 39 39 40 37 
UNSAFE	72 74 74 75 76 77 77 
UNSAFE	57 60 61 62 62 64 68 
UNSAFE	12 14 15 16 16 23 
UNSAFE	82 83 87 90 91 93 95 96 
UNSAFE	25 27 31 32 29 
UNSAFE	20 21 23 26 30 30 
UNSAFE	34 37 38 42 45 47 51 
UNSAFE	24 27 30 34 40 
UNSAFE	10 13 15 16 18 20 26 27 
UNSAFE	76 78 83 86 83 
UNSAFE	49 51 56 59 60 62 62 
UNSAFE	27 28 29 32 39 43 
UNSAFE	55 56 62 63 66 73 
-[2]	21 20 23 25 28 29 30 
UNSAFE	79 77 80 83 85 86 87 86 
UNSAFE	29 26 28 30 30 
UNSAFE	48 47 50 53 55 57 59 63 
UNSAFE	12 10 13 15 16 17 19 26 
UNSAFE	50 49 51 52 50 52 
UNSAFE	87 86 87 86 83 
UNSAFE	60 59 60 59 61 61 
UNSAFE	32 30 33 30 34 
UNSAFE	44 41 39 40 41 48 
UNSAFE	27 26 28 28 31 33 
UNSAFE	16 13 16 16 17 19 21 19 
UNSAFE	39 38 38 40 42 44 46 46 
UNSAFE	57 56 58 59 61 64 64 68 
UNSAFE	47 44 46 48 48 55 
UNSAFE	16 15 19 22 23 25 
UNSAFE	11 8 9 13 15 16 13 
UNSAFE	4 2 6 8 9 9 
UNSAFE	15 14 16 17 21 25 
UNSAFE	37 34 38 39 41 46 
UNSAFE	88 85 92 93 94 
UNSAFE	83 81 83 85 91 93 91 
UNSAFE	40 37 40 42 47 48 48 
UNSAFE	72 69 70 72 74 80 81 85 
UNSAFE	18 17 19 21 26 28 33 
-[1]	39 39 42 43 46 
UNSAFE	53 53 54 56 58 59 57 
UNSAFE	80 80 81 84 84 
UNSAFE	73 73 75 78 80 83 86 90 
UNSAFE	74 74 77 79 80 86 
UNSAFE	78 78 81 83 82 85 
UNSAFE	24 24 22 24 22 
UNSAFE	28 28 31 29 30 30 
UNSAFE	62 62 65 63 64 68 
UNSAFE	49 49 52 49 52 55 61 
UNSAFE	85 85 85 87 89 90 92 95 
UNSAFE	6 6 6 8 6 
UNSAFE	75 75 75 78 81 84 85 85 
UNSAFE	74 74 75 77 77 79 83 
UNSAFE	21 21 22 22 28 
UNSAFE	80 80 83 87 88 89 
UNSAFE	66 66 68 72 74 72 
UNSAFE	86 86 87 91 94 95 95 
UNSAFE	62 62 65 68 71 75 76 80 
UNSAFE	41 41 44 45 46 49 53 58 
UNSAFE	31 31 34 35 36 38 44 46 
UNSAFE	83 83 86 87 89 95 98 96 
UNSAFE	31 31 32 35 41 41 
UNSAFE	79 79 81 84 85 90 92 96 
UNSAFE	69 69 75 77 78 85 
-[1]	55 59 60 61 62 65 
UNSAFE	81 85 86 88 87 
UNSAFE	57 61 63 65 67 68 70 70 
UNSAFE	3 7 9 12 16 
UNSAFE	36 40 43 45 52 
UNSAFE	2 6 7 9 10 9 11 
UNSAFE	69 73 76 73 72 
UNSAFE	54 58 61 64 62 63 63 
UNSAFE	18 22 20 21 25 
UNSAFE	55 59 57 60 67 
UNSAFE	51 55 56 56 57 
UNSAFE	6 10 13 13 12 
UNSAFE	26 30 32 32 35 38 40 40 
UNSAFE	54 58 58 59 63 
UNSAFE	14 18 19 22 23 23 26 33 
UNSAFE	45 49 52 55 59 60 63 66 
UNSAFE	52 56 58 61 65 68 65 
UNSAFE	1 5 7 11 12 12 
UNSAFE	61 65 66 67 71 75 
UNSAFE	62 66 70 73 78 
UNSAFE	21 25 32 33 34 36 38 
UNSAFE	56 60 61 64 70 73 71 
UNSAFE	25 29 34 35 35 
UNSAFE	31 35 41 44 47 51 
UNSAFE	2 6 8 15 22 
-[1]	53 60 61 63 66 67 68 
UNSAFE	70 76 77 80 83 81 
UNSAFE	10 17 19 21 23 25 25 
UNSAFE	8 14 15 16 18 20 24 
UNSAFE	42 47 49 52 54 55 57 62 
UNSAFE	9 15 14 17 19 20 22 
UNSAFE	14 21 20 22 20 
UNSAFE	70 75 73 74 74 
UNSAFE	86 91 90 92 96 
UNSAFE	33 38 39 38 44 
UNSAFE	73 79 80 80 82 
UNSAFE	81 87 89 89 91 94 91 
UNSAFE	63 70 70 72 72 
UNSAFE	72 78 78 79 83 
UNSAFE	8 15 15 17 19 25 
UNSAFE	60 66 69 70 74 75 77 79 
UNSAFE	19 24 25 29 28 
UNSAFE	28 34 38 40 42 42 
UNSAFE	24 31 34 35 39 43 
UNSAFE	11 17 18 21 25 28 34 
UNSAFE	63 69 76 77 78 
UNSAFE	28 35 37 43 41 
UNSAFE	71 78 79 84 85 87 90 90 
UNSAFE	25 31 32 33 36 41 45 
UNSAFE	36 41 42 43 48 53 
-[5]	37 36 35 32 29 32 
-[6]	25 23 20 17 16 13 13 
-[7]	33 31 30 27 25 22 20 16 
-[5]	47 45 43 41 39 33 
UNSAFE	15 12 11 8 11 10 
UNSAFE	63 60 58 59 58 57 56 57 
UNSAFE	5 4 3 2 1 4 4 
UNSAFE	58 56 53 50 49 51 50 46 
UNSAFE	88 85 84 86 80 
-[3]	47 46 45 45 43 41 39 
UNSAFE	45 42 39 37 36 36 37 
UNSAFE	69 68 67 66 65 62 62 62 
UNSAFE	83 80 80 78 75 71 
UNSAFE	37 35 32 29 29 28 23 
UNSAFE	34 33 29 28 25 
UNSAFE	51 48 46 42 40 42 
UNSAFE	65 64 61 57 56 54 54 
UNSAFE	52 49 45 44 41 37 
UNSAFE	48 46 44 41 37 32 
UNSAFE	59 56 55 52 51 44 42 40 
UNSAFE	40 38 36 34 31 25 23 26 
UNSAFE	93 91 88 83 83 
UNSAFE	44 43 42 40 34 31 30 26 
